,Show_Type_ID,Types
1050,ST485,Documentaries
1051,ST485,International Movies
1052,ST486,Children & Family Movies
1053,ST487,Children & Family Movies
1054,ST488,Children & Family Movies
1055,ST489,Children & Family Movies
1056,ST490,Comedies
1057,ST490,Dramas
1058,ST490,International Movies
1059,ST491,Classic Movies
1060,ST491,Dramas
1061,ST491,International Movies
1062,ST492,Comedies
1063,ST492,Independent Movies
1064,ST493,Dramas
1065,ST493,International Movies
1066,ST494,Dramas
1067,ST494,Thrillers
1068,ST495,International TV Shows
1069,ST495,Romantic TV Shows
1070,ST495,TV Dramas
1071,ST496,Dramas
1072,ST496,Faith & Spirituality
1073,ST497,Dramas
1074,ST497,Thrillers
1075,ST498,Comedies
1076,ST498,Dramas
1077,ST498,International Movies
1078,ST499,Comedies
1079,ST499,Dramas
1080,ST499,International Movies
1081,ST500,Comedies
1082,ST500,International Movies
1083,ST500,LGBTQ Movies
1084,ST501,International Movies
1085,ST501,Thrillers
1086,ST502,Dramas
1087,ST502,Independent Movies
1088,ST502,International Movies
1089,ST503,Comedies
1090,ST503,Dramas
1091,ST503,LGBTQ Movies
1092,ST504,Dramas
1093,ST504,International Movies
1094,ST505,Docuseries
1095,ST505,Science & Nature TV
1096,ST506,Dramas
1097,ST506,Independent Movies
1098,ST506,International Movies
